"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Mier1","Mier1",1.0703893278914,0.852175268984875,-0.0328995697550341,0.275820719618328
"Msl3","Msl3",1.63226821549951,0.898960277259398,0.0860758765774886,0.275824687287581
"Abhd5","Abhd5",1.63226821549951,0.898960277259398,0.0860758765774886,0.275824687287581
"1700049G17Rik","1700049G17Rik",1.63226821549951,0.898960277259398,0.0860758765774886,0.275824687287581
"Fbrsl1","Fbrsl1",1.63226821549951,0.898960277259398,0.0860758765774886,0.275824687287581
"Gm9833","Gm9833",1.63226821549951,0.898960277259398,0.0860758765774886,0.275824687287581
"Aasdhppt","Aasdhppt",2.35049724708413,0.653011475117427,-0.0328209616901496,0.276083644082387
"Anp32a","Anp32a",2.35049724708413,0.653026580299308,-0.0328058565082687,0.276134181256867
"Tmem106b","Tmem106b",2.82781902461732,0.575845495574703,-0.0328044467364628,0.276138898140371
"Hmgn1","Hmgn1",2.82781902461732,0.575891205131368,-0.0327587371797974,0.276291856839212
"Rps6ka6","Rps6ka6",1.0703893278914,0.85236664162284,-0.0327081971170686,0.27646102832285
"Zfp12","Zfp12",1.0703893278914,0.85236664162284,-0.0327081971170686,0.27646102832285
"Fam126a","Fam126a",1.0703893278914,0.85236664162284,-0.0327081971170686,0.27646102832285
"2210408I21Rik","2210408I21Rik",1.0703893278914,0.85236664162284,-0.0327081971170686,0.27646102832285
"Plscr3","Plscr3",1.0703893278914,0.85236664162284,-0.0327081971170686,0.27646102832285
"Nuak1","Nuak1",1.0703893278914,0.85236664162284,-0.0327081971170686,0.27646102832285
"Ascc3","Ascc3",1.0703893278914,0.85236664162284,-0.0327081971170686,0.27646102832285
"Nosip","Nosip",2.03562390973072,0.707046541974772,-0.0327052306676846,0.276470959422364
"Srgap1","Srgap1",2.60880924267552,0.610122201031292,-0.0326892482442791,0.2765244684986
"Cyb5","Cyb5",3.71149490665009,0.567568074061581,0.0858375746140696,0.276622132436907
"Nr2c2ap","Nr2c2ap",2.35049724708413,0.771666788561398,0.085834351753822,0.276632925040503
"B3gat1","B3gat1",2.60880924267552,0.728641015817416,0.0858295665418446,0.276648949974533
"Itgb1","Itgb1",2.60880924267552,0.610170070350386,-0.032641378925185,0.276684765118402
"Tsr3","Tsr3",2.82781902461732,0.694468387162196,0.0858184448510311,0.27668619655244
"Rnf14","Rnf14",4.32912359629157,0.365975639267565,-0.0326289063043131,0.276726538782383
"Akap1","Akap1",2.03562390973072,0.825556261919898,0.085804489277442,0.276732937288735
"Pde4d","Pde4d",2.60880924267552,0.610233349538162,-0.0325780997374087,0.276896733535225
"Lamtor5","Lamtor5",3.59693514238723,0.465771162204157,-0.0325694118914737,0.276925841711063
"Gstz1","Gstz1",2.35049724708413,0.653270674661049,-0.0325617621465273,0.276951473023901
"Vcan","Vcan",1.63226821549951,0.89862258953168,0.0857381888497715,0.27695504697734
"Rpusd1","Rpusd1",2.03562390973072,0.825488082405078,0.0857363097626221,0.276961343283232
"Dnajc18","Dnajc18",2.60880924267552,0.610261973898338,-0.0325494753772334,0.276992643628272
"Dcaf17","Dcaf17",2.03562390973072,0.825473991249392,0.0857222186069361,0.277008561115947
"Pex7","Pex7",1.63226821549951,0.780376296817303,-0.0325081038646063,0.27713129364672
"Calr","Calr",3.81762325751143,0.434196819223557,-0.032507610261668,0.27713294808313
