"","sc3_34_clusters"
"GSM1772084020.1","13"
"GSM1772084020.2","34"
"GSM1772084014.5","13"
"GSM1772084021.10","14"
"GSM1772084021.11","14"
"GSM1772089190.4","13"
"GSM1772078022.2","13"
"GSM1772092008.2","13"
"GSM1772092008.3","13"
"GSM1772092009.3","13"
"GSM1772078016.4","16"
"GSM1772078030.11","13"
"GSM1772092013.4","13"
"GSM1772078017.3","13"
"GSM1772089194.8","13"
"GSM1772089195.4","15"
"GSM1772089195.5","8"
"GSM1772078016.5","15"
"GSM1772096101.12","13"
"GSM1772089190.5","13"
"GSM1772078017.4","13"
"GSM1772089190.6","13"
"GSM1772078016.6","13"
"GSM1772075304.10","13"
"GSM1772089190.7","13"
"GSM1772075305.4","8"
"GSM1772089196.2","13"
"GSM1772078028.5","13"
"GSM1772078016.7","13"
"GSM1772075305.5","13"
"GSM1772096139.14","13"
"GSM1772075304.11","13"
"GSM1772075304.12","13"
"GSM1772075304.13","13"
"GSM1772075304.14","13"
"GSM1772078030.12","13"
"GSM1772096168.6","13"
"GSM1772075305.6","13"
"GSM1772075305.7","13"
"GSM1772089186.4","13"
"GSM1772092005","13"
"GSM1772089186.5","13"
"GSM1772078016.8","13"
"GSM1772089186.6","13"
"GSM1772078017.5","13"
"GSM1772078017.6","13"
"GSM1772092008.4","13"
"GSM1772092008.5","13"
"GSM1772092012.2","14"
"GSM1772075304.15","13"
"GSM1772078017.7","16"
"GSM1772092012.3","13"
"GSM1772092008.6","14"
"GSM1772078017.8","14"
"GSM1772078017.9","34"
"GSM1772092012.4","13"
"GSM1772075304.16","13"
"GSM1772092012.5","19"
"GSM1772096136.12","15"
"GSM1772078013.3","13"
"GSM1772075305.8","19"
"GSM1772075305.9","19"
"GSM1772089196.3","13"
"GSM1772075304.17","9"
"GSM1772075305.10","14"
"GSM1772078013.4","8"
"GSM1772089196.4","13"
"GSM1772096136.13","8"
"GSM1772096132.17","13"
"GSM1772075309","19"
"GSM1772096173.9","14"
"GSM1772096135.14","13"
"GSM1772096099.9","13"
"GSM1772078030.13","13"
"GSM1772096101.13","13"
"GSM1772078016.9","8"
"GSM1772096135.15","13"
"GSM1772089194.9","13"
"GSM1772092010","13"
"GSM1772078023","15"
"GSM1772078018.5","14"
"GSM1772096135.16","13"
"GSM1772089194.10","13"
"GSM1772078013.5","13"
"GSM1772096168.7","13"
"GSM1772092010.1","14"
"GSM1772096138.19","13"
"GSM1772078017.10","13"
"GSM1772078022.3","13"
"GSM1772096140.12","13"
"GSM1772089195.6","13"
"GSM1772092010.2","13"
"GSM1772096168.8","13"
"GSM1772058147.1","14"
"GSM1772075305.11","19"
"GSM1772075305.12","34"
"GSM1772075310.2","8"
"GSM1772075310.3","19"
"GSM1772078029.5","7"
"GSM1772078013.6","15"
"GSM1772078014.5","16"
"GSM1772078016.10","19"
"GSM1772078016.11","16"
"GSM1772078019.7","14"
"GSM1772078019.8","13"
"GSM1772078019.9","19"
"GSM1772092009.4","13"
"GSM1772092009.5","13"
"GSM1772092010.3","19"
"GSM1772092010.4","16"
"GSM1772092011.2","13"
"GSM1772089194.11","16"
"GSM1772089194.12","13"
"GSM1772089195.7","11"
"GSM1772089188.3","13"
"GSM1772089188.4","13"
"GSM1772089186.7","15"
"GSM1772089187.4","15"
"GSM1772092005.1","15"
"GSM1772096126.7","13"
"GSM1772096126.8","9"
"GSM1772096096.3","13"
