"dim1","dim2"
"GSM1772096171",9.00602502584552,5.66480781043558
"GSM1772096172.1",-0.184385774133351,-11.7818092760587
"GSM1772096173.2",-0.186240097934393,-11.7839426955583
"GSM1772075317",-12.6396763733837,5.83948911620365
"GSM1772075317.1",-0.184385774133351,-11.7818092760587
"GSM1772075317.2",-12.8781558105563,5.33286362527985
"GSM1772075304.2",11.7669279125678,3.74706065475068
"GSM1772075310.1",-0.184398940550762,-11.7816186361847
"GSM1772078029",-0.184398940550762,-11.7816186361847
"GSM1772078029.1",-14.9250653760762,4.77373481175398
"GSM1772092013.1",9.7513040827189,8.15388267644304
"GSM1772089190.1",-0.184385774133351,-11.7818092760587
"GSM1772089186.1",-0.184385774133351,-11.7818092760587
"GSM1772096097.3",7.08936422021479,4.91914262220313
"GSM1772096097.4",-0.184385774133351,-11.7818092760587
"GSM1772096100.2",-0.184385774133351,-11.7818092760587
"GSM1772096100.3",-0.186280615469714,-11.783698941112
"GSM1772096100.4",-0.184878353929933,-11.7830281205858
"GSM1772096100.5",-0.184878353929933,-11.7830281205858
"GSM1772096103.1",-0.184796872579136,-11.7819363046362
"GSM1772096132.2",-0.184385774133351,-11.7818092760587
"GSM1772096132.3",8.96105994342648,5.84437332004255
"GSM1772096132.4",-0.184385774133351,-11.7818092760587
"GSM1772096135.2",9.16950495439855,8.29013269471682
"GSM1772096133.2",-0.184385774133351,-11.7818092760587
"GSM1772096134.3",5.4515449641077,17.0551209952872
"GSM1772096136",-0.184385774133351,-11.7818092760587
"GSM1772096138.3",-14.340217862282,3.55541454276251
"GSM1772096138.4",-0.79167530745452,-11.5968233363519
"GSM1772096138.5",-0.806519651966272,-11.6666372866421
"GSM1772096138.6",0.767991853578692,-10.9510743931249
"GSM1772096138.7",-14.6852508371036,6.92862696163067
"GSM1772096139.2",-14.7802207894615,5.25845129578669
"GSM1772096139.3",11.10415837066,4.67368735472169
"GSM1772096139.4",-12.2047431460905,6.37040702083891
"GSM1772096139.5",-14.7802207894615,5.25845129578669
"GSM1772096139.6",4.3335926028609,-3.91323172205082
"GSM1772096141.3",-0.75082359340123,-12.5806655398334
"GSM1772096141.4",12.2874326871374,5.04288942551641
