"","x"
"GSM1772075304.4",6
"GSM1772096141.11",6
"GSM1772096099.28",6
"GSM1772096165.7",6
"GSM1772096173.2",6
"GSM1772075317.1",6
"GSM1772096132.4",6
"GSM1772096103.4",6
"GSM1772096139.2",6
"GSM1772096172.6",6
"GSM1772096141.13",6
"GSM1772096141.15",6
"GSM1772096135.9",6
"GSM1772096172.2",6
"GSM1772096132.7",6
"GSM1772084017.7",6
"GSM1772096141.10",6
"GSM1772096173.1",6
"GSM1772096101.3",6
"GSM1772096165.5",6
"GSM1772096135.3",6
"GSM1772096133.7",6
"GSM1772078030.4",6
"GSM1772092009.1",6
"GSM1772096103.2",6
"GSM1772078019.5",6
"GSM1772096136.3",6
"GSM1772096141.9",6
"GSM1772096132.5",6
"GSM1772078014.1",6
"GSM1772084021.16",6
"GSM1772089194.3",6
"GSM1772096100.8",6
"GSM1772096100.10",6
"GSM1772089190.2",6
"GSM1772096126.22",6
"GSM1772078031.10",6
"GSM1772078030.3",6
"GSM1772092004.5",6
"GSM1772089194.2",6
"GSM1772089186.2",6
"GSM1772092012",6
"GSM1772075304.3",6
"GSM1772096132.1",6
"GSM1772096172.3",6
"GSM1772096097.5",6
"GSM1772096141.12",6
"GSM1772078022.1",6
"GSM1772089194.1",6
"GSM1772096173.5",6
"GSM1772096100.12",6
"GSM1772096132.6",6
"GSM1772096103.6",6
"GSM1772084021.3",6
"GSM1772096162.5",6
"GSM1772084021.4",6
"GSM1772096100.11",6
"GSM1772096100.13",6
"GSM1772089195",6
"GSM1772096133.1",6
"GSM1772096136.2",6
"GSM1772096099.16",7
"GSM1772096132.16",7
"GSM1772096135.21",7
"GSM1772096102.9",7
"GSM1772092009.7",7
"GSM1772096097.7",7
"GSM1772092009.9",7
"GSM1772078014.5",7
"GSM1772096132.31",7
"GSM1772075310.5",7
"GSM1772096171.11",7
"GSM1772096099.18",7
"GSM1772092011.2",7
"GSM1772096099.19",7
"GSM1772096171.7",7
"GSM1772092010.1",7
"GSM1772096134.11",7
"GSM1772092009.8",7
"GSM1772078018.45",7
"GSM1772096133.11",7
"GSM1772092009.10",7
"GSM1772092009.5",7
"GSM1772096099.17",7
"GSM1772096103.29",7
"GSM1772078023.3",7
"GSM1772092010.10",7
"GSM1772096162.16",7
"GSM1772096136.35",7
"GSM1772078030.19",7
"GSM1772078016.20",7
"GSM1772096096.10",7
"GSM1772096133.9",7
"GSM1772096132.33",7
"GSM1772089187.7",7
"GSM1772092008.16",7
"GSM1772084020.8",7
"GSM1772096099.21",7
"GSM1772078016.18",7
"GSM1772096171.9",7
"GSM1772075310.13",7
"GSM1772089196.9",7
"GSM1772092010.9",7
"GSM1772089188.7",7
"GSM1772096132.32",7
"GSM1772096172.8",7
"GSM1772078018.12",7
"GSM1772096099.7",7
"GSM1772096132.20",7
"GSM1772096175.4",7
"GSM1772092010.6",7
"GSM1772096128.18",7
"GSM1772078013.8",7
"GSM1772096162.8",7
"GSM1772092010.7",7
"GSM1772096162.15",7
"GSM1772089188.2",7
"GSM1772078017.4",7
"GSM1772096133.13",7
"GSM1772096126.8",7
"GSM1772089194.22",7
"GSM1772078030.23",7
"GSM1772096103.37",7
"GSM1772092009.3",7
"GSM1772078022.4",7
"GSM1772078013.20",7
"GSM1772096162.10",7
"GSM1772096145.2",7
"GSM1772089194.34",7
"GSM1772078014.15",7
"GSM1772092008.5",7
"GSM1772096100.21",7
"GSM1772096131",7
"GSM1772078013.7",7
"GSM1772078014.12",7
"GSM1772096134.9",7
"GSM1772096103.24",7
"GSM1772096144.7",7
"GSM1772096162.13",7
"GSM1772096162.9",7
"GSM1772089188.6",7
"GSM1772078013.3",7
"GSM1772078018.6",7
"GSM1772078018.9",7
"GSM1772096165.17",7
"GSM1772096135.20",7
"GSM1772089186.10",7
"GSM1772092010.4",7
"GSM1772096103.30",7
"GSM1772096102.11",7
"GSM1772096097.10",7
"GSM1772078029.7",7
"GSM1772096096.6",7
"GSM1772096145.3",7
"GSM1772096136.20",7
"GSM1772096132.27",7
"GSM1772096168.8",7
"GSM1772089188.9",7
"GSM1772096165.11",7
"GSM1772096136.21",7
"GSM1772078019.24",7
"GSM1772078018.14",7
"GSM1772084020.7",7
"GSM1772075310.12",7
"GSM1772096097.8",7
"GSM1772096171.29",7
"GSM1772096099.15",7
"GSM1772092005",7
"GSM1772089187.5",7
"GSM1772058147.2",7
"GSM1772092012.5",7
"GSM1772096144.8",7
"GSM1772096132.23",7
"GSM1772096136.15",7
"GSM1772096168.7",7
"GSM1772078018.13",7
"GSM1772078022.9",7
"GSM1772096162.7",7
"GSM1772078017.14",7
"GSM1772089194.19",7
"GSM1772096168.33",7
"GSM1772096101.17",7
"GSM1772096172.10",7
"GSM1772096133.16",7
"GSM1772092008.14",7
"GSM1772089190.8",7
"GSM1772078018.7",7
"GSM1772089195.13",7
"GSM1772096136.19",7
"GSM1772092012.11",7
"GSM1772096133.18",7
"GSM1772092008.8",7
"GSM1772096132.21",7
"GSM1772078018.16",7
"GSM1772089194.13",7
"GSM1772096168.11",7
"GSM1772089194.21",7
"GSM1772096103.19",7
"GSM1772096128.7",7
"GSM1772078016.5",7
"GSM1772075304.19",7
"GSM1772096102.15",7
"GSM1772096171.3",7
"GSM1772096101.21",7
"GSM1772089186.5",7
"GSM1772075304.11",7
"GSM1772089187.4",7
"GSM1772096103.23",7
