"","x"
"GSM2613174","2"
"GSM2613175","0"
"GSM2613176","0"
"GSM2613177","5"
"GSM2613178","2"
"GSM2613179","0"
"GSM2613180","0"
"GSM2613181","0"
"GSM2613182","2"
"GSM2613183","5"
"GSM2613184","2"
"GSM2613185","2"
"GSM2613186","0"
"GSM2613187","0"
"GSM2613188","9"
"GSM2613189","9"
"GSM2613190","0"
"GSM2613191","5"
"GSM2613192","2"
"GSM2613193","2"
"GSM2613194","0"
"GSM2613195","2"
"GSM2613196","0"
"GSM2613197","0"
"GSM2613198","2"
"GSM2613199","2"
"GSM2613200","0"
"GSM2613201","2"
"GSM2613202","5"
"GSM2613203","0"
"GSM2613204","2"
"GSM2613205","0"
"GSM2613206","9"
"GSM2613207","0"
"GSM2613208","5"
"GSM2613209","0"
"GSM2613210","0"
"GSM2613211","2"
"GSM2613212","0"
"GSM2613213","0"
"GSM2613214","0"
"GSM2613215","12"
"GSM2613216","5"
"GSM2613217","0"
"GSM2613218","0"
"GSM2613219","0"
"GSM2613220","0"
"GSM2613221","2"
"GSM2613222","2"
"GSM2613223","9"
"GSM2613224","9"
"GSM2613225","0"
"GSM2613226","2"
"GSM2613227","4"
"GSM2613228","0"
"GSM2613229","0"
"GSM2613230","4"
"GSM2613231","9"
"GSM2613232","4"
"GSM2613233","0"
"GSM2613234","2"
"GSM2613235","2"
"GSM2613236","5"
"GSM2613237","0"
"GSM2613238","2"
"GSM2613239","0"
"GSM2613240","2"
"GSM2613241","4"
"GSM2613242","0"
"GSM2613243","2"
"GSM2613244","0"
"GSM2613245","0"
"GSM2613246","0"
"GSM2613247","0"
"GSM2613248","2"
"GSM2613249","0"
"GSM2613250","0"
"GSM2613251","0"
"GSM2613252","0"
"GSM2613253","0"
"GSM2613254","0"
"GSM2613255","2"
"GSM2613256","0"
"GSM2613257","5"
"GSM2613258","0"
"GSM2613259","0"
"GSM2613260","0"
"GSM2613261","0"
"GSM2613262","0"
"GSM2613263","2"
"GSM2613264","0"
"GSM2613265","0"
"GSM2613266","0"
"GSM2613267","0"
"GSM2613268","0"
"GSM2613269","0"
"GSM2613270","0"
"GSM2613271","0"
"GSM2613272","2"
"GSM2613273","4"
"GSM2613274","0"
"GSM2613275","0"
"GSM2613276","0"
"GSM2613277","2"
"GSM2613278","0"
"GSM2613279","5"
"GSM2613280","4"
"GSM2613281","0"
"GSM2613282","4"
"GSM2613283","0"
"GSM2613284","0"
"GSM2613285","2"
"GSM2613286","4"
"GSM2613287","2"
"GSM2613288","2"
"GSM2613289","4"
"GSM2613290","0"
"GSM2613291","2"
"GSM2613292","2"
"GSM2613293","2"
"GSM2613294","2"
"GSM2613295","2"
"GSM2613296","5"
"GSM2613297","0"
"GSM2613298","4"
"GSM2613299","4"
"GSM2613300","0"
"GSM2613301","5"
"GSM2613302","4"
"GSM2613303","2"
"GSM2613304","4"
"GSM2613305","0"
"GSM2613306","2"
"GSM2613307","0"
"GSM2613308","0"
"GSM2613309","0"
"GSM2613310","0"
"GSM2613311","0"
"GSM2613312","5"
"GSM2613313","2"
"GSM2613314","2"
"GSM2613315","0"
"GSM2613316","2"
"GSM2613317","4"
"GSM2613318","2"
"GSM2613319","2"
"GSM2613320","9"
"GSM2613321","2"
"GSM2613322","0"
"GSM2613323","0"
"GSM2613324","2"
"GSM2613325","4"
"GSM2613326","2"
"GSM2613327","4"
"GSM2613328","5"
"GSM2613329","0"
"GSM2613330","4"
"GSM2613331","0"
"GSM2613332","4"
"GSM2613333","5"
"GSM2613334","5"
"GSM2613335","4"
"GSM2613336","2"
"GSM2613337","4"
"GSM2613338","0"
"GSM2613339","0"
"GSM2613340","2"
"GSM2613341","2"
"GSM2613342","9"
"GSM2613343","2"
"GSM2613344","2"
"GSM2613345","4"
"GSM2613346","0"
"GSM2613347","2"
"GSM2613348","4"
"GSM2613349","5"
"GSM2613350","0"
"GSM2613351","4"
"GSM2613352","2"
"GSM2613353","0"
"GSM2613354","9"
"GSM2613355","0"
"GSM2613356","2"
"GSM2613357","5"
"GSM2613358","0"
"GSM2613359","0"
"GSM2613360","4"
"GSM2613361","0"
"GSM2613362","2"
"GSM2613363","2"
"GSM2613364","0"
"GSM2613365","2"
"GSM2613366","2"
"GSM2613367","0"
"GSM2613368","5"
"GSM2613369","0"
"GSM2613370","0"
"GSM2613371","2"
"GSM2613372","0"
"GSM2613373","4"
"GSM2613374","4"
"GSM2613375","5"
"GSM2613376","0"
"GSM2613377","0"
"GSM2613378","9"
"GSM2613379","2"
"GSM2613380","0"
"GSM2613381","5"
"GSM2613382","0"
"GSM2613383","0"
"GSM2613384","0"
"GSM2613385","9"
"GSM2613386","4"
"GSM2613387","0"
"GSM2613388","2"
"GSM2613389","0"
"GSM2613390","5"
"GSM2613391","2"
"GSM2613392","4"
"GSM2613393","2"
"GSM2613394","2"
"GSM2613395","2"
"GSM2613396","2"
"GSM2613397","0"
"GSM2613398","0"
"GSM2613399","0"
