"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Cog4","Cog4",10.2832041344968,0.920775149812851,0.0466920706144154,0.36387372011576
"Dhx8","Dhx8",9.71784775434632,0.949683013134503,0.0466891798401082,0.363888900375634
"Ifitm7","Ifitm7",5.80992886572143,0.98729283178835,-0.00308207988752562,0.363928800742761
"Reep6","Reep6",8.93987301230795,0.985447377156971,0.0466780693162899,0.363947246814435
"Mir7647","Mir7647",3.81762325751143,0.999686485276005,-0.00307185931402076,0.363982475514004
"Ube2v2","Ube2v2",9.43899971873248,0.96286475459942,0.0466658692578139,0.364011318531236
"Gxylt2","Gxylt2",8.75187875229113,0.992604981094948,0.0466616306738108,0.364033579425451
"Mir344g","Mir344g",4.00898878322726,0.998861394145237,-0.00305377459472012,0.364077456484945
"Fam228b","Fam228b",8.92213836930746,0.986138038158319,0.0466509618615706,0.364089613683096
"Cybrd1","Cybrd1",8.65499397296372,0.995980067127803,0.0466508823082685,0.3640900315203
"Mir7078","Mir7078",4.46597446450407,0.996604850753322,-0.00305097189167114,0.364092177032703
"Armc2","Armc2",8.72826067270907,0.993430418560831,0.0466439266463528,0.36412656531516
"Trpv2","Trpv2",10.4482195726541,0.911776531082329,0.0466359150174119,0.364168646982647
"Dppa4","Dppa4",3.81762325751143,0.999722742080821,-0.00303560250920498,0.364172904714059
"Tspan9","Tspan9",10.5469908934989,0.85684249428604,-0.00303398120249876,0.364181420979012
"Lgr5","Lgr5",8.5588033402543,0.999145758348179,0.0466331002275034,0.364183432261494
"Nrg3","Nrg3",4.00898878322726,0.998884036875303,-0.00303113186465376,0.364196387906238
"Grtp1","Grtp1",9.94412637341101,0.938031986494656,0.0466272809398564,0.364213999940569
"Upf3b","Upf3b",9.84250749117725,0.893609543745996,-0.00302366385702935,0.36423561664389
"Nme9","Nme9",3.91647664443772,0.999311896255128,-0.00301776726688008,0.364266591879124
"Pvrl2","Pvrl2",9.51589691430933,0.959241897909493,0.0466081739511881,0.364314371614043
"Phkg2","Phkg2",9.27169645481871,0.921034822528272,-0.003004036514904,0.364338723996132
"Slamf7","Slamf7",3.91647664443772,0.999328182734296,-0.00300148078771156,0.364352150594846
"Bex4","Bex4",4.25550073314839,0.99774446936019,-0.00299819861429684,0.364369393847352
"Cenph","Cenph",8.53566419081016,0.999848731341154,0.0465943787198778,0.364386845671374
"Armcx5","Armcx5",9.22905911963416,0.972615274527479,0.0465912702980577,0.364403176617273
"Gm6537","Gm6537",8.53177132541286,0.999968241365621,0.0465899753247578,0.364409980187026
"Tmem43","Tmem43",10.9701778078147,0.884479896382464,0.0465873550334466,0.364423746883162
"Plk5","Plk5",8.60028462289809,0.997745941758812,0.0465857299734838,0.364432284841076
"Dock3","Dock3",9.01150682039669,0.982362366211626,0.0465842562904158,0.36444002753292
"Nmnat2","Nmnat2",9.24341203232109,0.971939210503066,0.0465819144543134,0.364452331591618
"Actr5","Actr5",9.13211410258272,0.977044655422548,0.0465768288030445,0.364479052196877
"Fam184a","Fam184a",9.02818234846057,0.981634990501707,0.046572462872956,0.364501991828409
"Mir6948","Mir6948",4.09592441999854,0.998553217767191,-0.00296009633019456,0.36456958839322
"Slc1a1","Slc1a1",11.0768823869419,0.878738422914069,0.0465592633106605,0.364571348408369
"Depdc1a","Depdc1a",4.00898878322726,0.998955661837758,-0.00295950690219893,0.364572685617796
"Cnot4","Cnot4",10.3209133431463,0.869087765623516,-0.00295908636400177,0.364574895394791
"4933439C10Rik","4933439C10Rik",9.6988782658369,0.950500008535014,0.0465569730038266,0.364583383186806
"St6galnac6","St6galnac6",9.22665302327777,0.972688454448689,0.0465528601411981,0.364604995207112
"Hist1h2bm","Hist1h2bm",4.39917109381982,0.997058545530161,-0.00295132328621484,0.364615688385053
"Nrep","Nrep",11.9676225491945,0.828469592826642,0.0465505599860866,0.364617082109884
"a","a",4.09592441999854,0.998569554513271,-0.00294375958411486,0.364655435181527
"Tc2n","Tc2n",4.09592441999854,0.998570861452957,-0.00294245264442861,0.364662303217859
"Scn3a","Scn3a",8.78496195020486,0.991281466041669,0.0465393740096294,0.364675864329444
"Polg","Polg",9.36654078784534,0.916653742913623,-0.00293905799903693,0.364680142459678
"Plaur","Plaur",9.44107673469862,0.962633426805331,0.0465314737475326,0.364717382062688
"Trabd","Trabd",10.4544021192527,0.911338081697093,0.0465310457289898,0.364719631445993
"Polk","Polk",11.4325940953573,0.859161251141279,0.0465291885307162,0.364729391709769
"Kcnj2","Kcnj2",9.01150682039669,0.982303610338614,0.0465255004174042,0.364748774369123
"Ppfia1","Ppfia1",9.40748022209666,0.91474776092715,-0.0029250512685941,0.364753752495648
"Rpl21","Rpl21",8.9718309147805,0.983973835653716,0.0465215323428169,0.364769628734312
"Pacs1","Pacs1",10.2059154029928,0.924713785825802,0.0465175882667224,0.364790357371023
"Mir3471-1","Mir3471-1",4.25550073314839,0.997824680575772,-0.00291798739871463,0.364790877377286
"Aqp11","Aqp11",10.5737418494166,0.855572095149005,-0.00291126140305253,0.364826227705166
"Mpped1","Mpped1",8.7007864781574,0.994257216124777,0.0465045857519565,0.364858696682455
"Mecp2","Mecp2",10.7765152818128,0.894576186045229,0.0465025046477513,0.364869635059724
"Fbxw4","Fbxw4",9.19007157455409,0.974322696639671,0.046497661878197,0.364895089299969
"Mrpl10","Mrpl10",10.3477320853512,0.867696579893723,-0.00289569857190586,0.364908026867864
"Myo1e","Myo1e",10.5029312282797,0.859324590328378,-0.0028804025587168,0.364988429611386
"Pcolce","Pcolce",11.505364983595,0.855019264931163,0.0464761814336001,0.36500800054777
"Prss45","Prss45",8.55497249615294,0.999110567984558,0.046474500921903,0.365016834595882
"Lrrc10b","Lrrc10b",8.84893585552457,0.988813597887439,0.0464643254572992,0.36507032611005
"Serpini2","Serpini2",3.91647664443772,0.99946627850558,-0.00286338501642802,0.365077888464692
"Il31ra","Il31ra",8.57780644747015,0.998358970117034,0.0464621770947981,0.365081620196763
"Otud1","Otud1",9.56243324427834,0.956959504106967,0.0464548296151905,0.365120247277687
"Sbsn","Sbsn",7.70804925170222,0.970678339496465,-0.00285297473348078,0.365132617495114
"Gm11992","Gm11992",8.60399717008549,0.997487757255528,0.0464500624274784,0.365145310011351
"Mir6986","Mir6986",4.25550073314839,0.997894359035712,-0.00284830893877486,0.365157147443409
"Kiss1","Kiss1",4.17791779219584,0.998279443272329,-0.00284338877634105,0.365183015302247
"Padi6","Padi6",8.63698706120399,0.996377387748765,0.0464393978070676,0.365201379648121
"Cnot1","Cnot1",10.778159285228,0.894426632301836,0.0464383291770424,0.365206998168921
"Xrcc6bp1","Xrcc6bp1",8.98327866412136,0.983409890920194,0.0464363667556331,0.365217316039249
"1700012L04Rik","1700012L04Rik",4.17791779219584,0.998288562480702,-0.00283426956796773,0.365230961356665
"Gm3143","Gm3143",4.09592441999854,0.998681717063525,-0.00283159703386127,0.365245013136245
"Ppil6","Ppil6",8.92213836930746,0.985914976521048,0.0464279002243001,0.365261831843446
"Btd","Btd",10.7566397128909,0.846277175544153,-0.00282725795370342,0.365267827747879
"Crat","Crat",10.6267129015308,0.90220093625281,0.0464252545971836,0.36527574254268
"Slc1a5","Slc1a5",10.7474377534501,0.896004270634178,0.0464235298869436,0.365284811159256
"Hist1h2bp","Hist1h2bp",4.00898878322726,0.999099173326742,-0.00281599541321509,0.365327047705075
"Fam71e2","Fam71e2",3.91647664443772,0.999514798641436,-0.00281486488057159,0.365332992375591
"Extl1","Extl1",9.07975143109509,0.979223014858601,0.0464134985403121,0.36533755799711
"Srm","Srm",9.72809057366497,0.899664927515421,-0.00281362500838045,0.365339512022553
"Plrg1","Plrg1",10.3209133431463,0.918458619913148,0.0464117679256296,0.365346658174794
"Mas1","Mas1",8.60399717008549,0.997446155723487,0.0464084608954379,0.365364047907788
"Dapk3","Dapk3",8.92213836930746,0.936682858677163,-0.00280421761958527,0.365388980367683
"Zbtb10","Zbtb10",9.5870273824021,0.955764690771742,0.0464009691798286,0.365403443471805
"Olfr1300-ps1","Olfr1300-ps1",3.91647664443772,0.999537631646545,-0.00279203187546273,0.365453061902696
"Timm21","Timm21",9.56814614129294,0.907452939411225,-0.0027886305824395,0.365470949054037
"Emx2os","Emx2os",8.53566419081016,0.999641384694201,0.0463870320729254,0.365476736228808
"C430002N11Rik","C430002N11Rik",3.91647664443772,0.999549232286237,-0.00278043123577032,0.365514070021461
"Spint1","Spint1",8.56262403909987,0.998766351122964,0.0463770218562838,0.365529381202376
"Bicd1","Bicd1",9.44935502475364,0.962085467325877,0.0463695721077136,0.365568562000321
"Mpg","Mpg",9.25053529419631,0.922256027022063,-0.00276976369902249,0.365570173926366
"Agap3","Agap3",9.85346551400508,0.893307649033883,-0.00276089544467828,0.365616817032966
"Dmtf1","Dmtf1",10.6267129015308,0.902133748556787,0.0463580669011608,0.365629074606732
"Pacrg","Pacrg",8.75522142070237,0.992175223487506,0.0463521637885201,0.365660123824842
"1700010J16Rik","1700010J16Rik",4.00898878322726,0.999163689294693,-0.00275147944526355,0.365666343211989
"Cabyr","Cabyr",8.81410175449819,0.990011395300478,0.0463475407402384,0.365684440769329
"Nup188","Nup188",9.78316195615865,0.946026643756915,0.0463454188968779,0.365695601713265
"Dnah8","Dnah8",8.78496195020486,0.991082263628943,0.0463401715969038,0.365723203117695
"Fam84b","Fam84b",9.15253836924527,0.975876063060173,0.0463341328549433,0.365754968458806
"EU599041","EU599041",8.52786792735825,0.999818415588143,0.0463161478994035,0.365849579418586
"Tspan11","Tspan11",8.5702352149746,0.998458922240635,0.0463160147907636,0.365850279675161
"5830416I19Rik","5830416I19Rik",5.09169983413681,0.993163480725296,-0.00271461680091012,0.365860254514851
"Tlx3","Tlx3",4.00898878322726,0.999202582115056,-0.00271258662490104,0.365870934996572
"Jmjd7-pla2g4b","Jmjd7-pla2g4b",5.17392693199981,0.992600846592715,-0.00271244468355281,0.365871681734718
"Zfp781.1","Zfp781.1",4.95884267524324,0.99404398715878,-0.00271113351312169,0.36587857968517
"Scarna3a","Scarna3a",4.09592441999854,0.998807114708702,-0.00270619938868433,0.365904538061418
"2810429I04Rik","2810429I04Rik",4.32912359629157,0.997665970508196,-0.00270596239958898,0.365905784873983
"Mettl3","Mettl3",9.67965602719799,0.951202163491027,0.0463047383406552,0.365909604331367
"5031439G07Rik","5031439G07Rik",10.516783423426,0.907772304514522,0.0463034317062703,0.365916478655529
"4930592A05Rik","4930592A05Rik",5.83541884047548,0.987511338944792,-0.00267743382320307,0.36605588561452
"4930474G06Rik","4930474G06Rik",8.58157721553652,0.998050133080271,0.0462762846184641,0.366059311726539
"Gm3776","Gm3776",3.91647664443772,0.999655948127564,-0.00267371539444394,0.366075451329996
"Mir8120","Mir8120",4.00898878322726,0.999241731830337,-0.00267343690961952,0.366076916681981
"Chd5","Chd5",8.65499397296372,0.995597540326174,0.0462683555066398,0.366101033863204
"Agmat","Agmat",4.00898878322726,0.999249804053298,-0.00266536468665945,0.366119392548828
"Ms4a7","Ms4a7",8.54341854992942,0.999265049227404,0.046258263599119,0.366154138688889
"Apba3","Apba3",9.4980513660353,0.910799647622968,-0.00265640165992609,0.366166557728577
