"","cell.ID","cluster.ID"
"410","GSM1772096134.8","Cluster_1"
"411","GSM1772096136.10","Cluster_1"
"412","GSM1772096136.11","Cluster_1"
"413","GSM1772096139.13","Cluster_1"
"414","GSM1772096140.9","Cluster_1"
"415","GSM1772096140.10","Cluster_1"
"416","GSM1772096140.11","Cluster_1"
"417","GSM1772096141.25","Cluster_1"
"418","GSM1772096141.26","Cluster_1"
"419","GSM1772096162.7","Cluster_1"
"420","GSM1772096162.8","Cluster_1"
"421","GSM1772096162.9","Cluster_1"
"422","GSM1772096162.10","Cluster_1"
"423","GSM1772096165.11","Cluster_1"
"424","GSM1772096165.12","Cluster_1"
"425","GSM1772096168.5","Cluster_1"
"426","GSM1772096171.3","Cluster_1"
"427","GSM1772096172.7","Cluster_1"
"428","GSM1772096172.8","Cluster_1"
"429","GSM1772096172.9","Cluster_1"
"430","GSM1772096173.7","Cluster_1"
"431","GSM1772096173.8","Cluster_1"
"432","GSM1772096128.1","Cluster_1"
"433","GSM1772096128.2","Cluster_1"
"434","GSM1772096128.3","Cluster_1"
"435","GSM1772096175.2","Cluster_1"
"436","GSM1772096175.3","Cluster_1"
"437","GSM1772084020.1","Cluster_1"
"438","GSM1772084020.2","Cluster_1"
"439","GSM1772084014.5","Cluster_1"
"440","GSM1772084021.10","Cluster_1"
"441","GSM1772084021.11","Cluster_1"
"442","GSM1772089190.4","Cluster_1"
"443","GSM1772078022.2","Cluster_1"
"444","GSM1772092008.2","Cluster_1"
"445","GSM1772092008.3","Cluster_1"
"446","GSM1772092009.3","Cluster_1"
"447","GSM1772078016.4","Cluster_1"
"448","GSM1772078030.11","Cluster_1"
"449","GSM1772092013.4","Cluster_1"
"450","GSM1772078017.3","Cluster_1"
"451","GSM1772089194.8","Cluster_1"
"452","GSM1772089195.4","Cluster_1"
"453","GSM1772089195.5","Cluster_1"
"454","GSM1772078016.5","Cluster_1"
"455","GSM1772096101.12","Cluster_1"
"456","GSM1772089190.5","Cluster_1"
"457","GSM1772078017.4","Cluster_1"
"458","GSM1772089190.6","Cluster_1"
"459","GSM1772078016.6","Cluster_1"
"460","GSM1772075304.10","Cluster_1"
"461","GSM1772089190.7","Cluster_1"
"462","GSM1772075305.4","Cluster_1"
"463","GSM1772089196.2","Cluster_1"
"464","GSM1772078028.5","Cluster_1"
"465","GSM1772078016.7","Cluster_1"
"466","GSM1772075305.5","Cluster_1"
"467","GSM1772096139.14","Cluster_1"
"468","GSM1772075304.11","Cluster_1"
"469","GSM1772075304.12","Cluster_1"
"470","GSM1772075304.13","Cluster_1"
"471","GSM1772075304.14","Cluster_1"
"472","GSM1772078030.12","Cluster_1"
"473","GSM1772096168.6","Cluster_1"
"474","GSM1772075305.6","Cluster_1"
"475","GSM1772075305.7","Cluster_1"
"476","GSM1772089186.4","Cluster_1"
"477","GSM1772092005","Cluster_1"
"478","GSM1772089186.5","Cluster_1"
"479","GSM1772078016.8","Cluster_1"
"480","GSM1772089186.6","Cluster_1"
"481","GSM1772078017.5","Cluster_1"
"482","GSM1772078017.6","Cluster_1"
"483","GSM1772092008.4","Cluster_1"
"484","GSM1772092008.5","Cluster_1"
"485","GSM1772092012.2","Cluster_1"
"486","GSM1772075304.15","Cluster_1"
"487","GSM1772078017.7","Cluster_1"
"488","GSM1772092012.3","Cluster_1"
"489","GSM1772092008.6","Cluster_1"
"490","GSM1772078017.8","Cluster_1"
"491","GSM1772078017.9","Cluster_1"
"492","GSM1772092012.4","Cluster_1"
"493","GSM1772075304.16","Cluster_1"
"494","GSM1772092012.5","Cluster_1"
"495","GSM1772096136.12","Cluster_1"
"496","GSM1772078013.3","Cluster_1"
"497","GSM1772075305.8","Cluster_1"
"498","GSM1772075305.9","Cluster_1"
"499","GSM1772089196.3","Cluster_1"
"500","GSM1772075304.17","Cluster_1"
"501","GSM1772075305.10","Cluster_1"
"502","GSM1772078013.4","Cluster_1"
"503","GSM1772089196.4","Cluster_1"
"504","GSM1772096136.13","Cluster_1"
"505","GSM1772096132.17","Cluster_1"
"506","GSM1772075309","Cluster_1"
"507","GSM1772096173.9","Cluster_1"
"508","GSM1772096135.14","Cluster_1"
"509","GSM1772096099.9","Cluster_1"
"510","GSM1772078030.13","Cluster_1"
"511","GSM1772096101.13","Cluster_1"
"512","GSM1772078016.9","Cluster_1"
"513","GSM1772096135.15","Cluster_1"
"514","GSM1772089194.9","Cluster_1"
"515","GSM1772092010","Cluster_1"
"516","GSM1772078023","Cluster_1"
"517","GSM1772078018.5","Cluster_1"
"518","GSM1772096135.16","Cluster_1"
"519","GSM1772089194.10","Cluster_1"
"520","GSM1772078013.5","Cluster_1"
"521","GSM1772096168.7","Cluster_1"
"522","GSM1772092010.1","Cluster_1"
"523","GSM1772096138.19","Cluster_1"
"524","GSM1772078017.10","Cluster_1"
"525","GSM1772078022.3","Cluster_1"
"526","GSM1772096140.12","Cluster_1"
"527","GSM1772089195.6","Cluster_1"
"528","GSM1772092010.2","Cluster_1"
"529","GSM1772096168.8","Cluster_1"
"530","GSM1772058147.1","Cluster_1"
"531","GSM1772075305.11","Cluster_1"
"532","GSM1772075305.12","Cluster_1"
"533","GSM1772075310.2","Cluster_1"
"534","GSM1772075310.3","Cluster_1"
"535","GSM1772078029.5","Cluster_1"
"536","GSM1772078013.6","Cluster_1"
"537","GSM1772078014.5","Cluster_1"
"538","GSM1772078016.10","Cluster_1"
"539","GSM1772078016.11","Cluster_1"
"540","GSM1772078019.7","Cluster_1"
"541","GSM1772078019.8","Cluster_1"
"542","GSM1772078019.9","Cluster_1"
"543","GSM1772092009.4","Cluster_1"
"544","GSM1772092009.5","Cluster_1"
"545","GSM1772092010.3","Cluster_1"
"546","GSM1772092010.4","Cluster_1"
"547","GSM1772092011.2","Cluster_1"
"548","GSM1772089194.11","Cluster_1"
"549","GSM1772089194.12","Cluster_1"
"550","GSM1772089195.7","Cluster_1"
"551","GSM1772089188.3","Cluster_1"
"552","GSM1772089188.4","Cluster_1"
"553","GSM1772089186.7","Cluster_1"
"554","GSM1772089187.4","Cluster_1"
"555","GSM1772092005.1","Cluster_1"
"556","GSM1772096126.7","Cluster_1"
"557","GSM1772096126.8","Cluster_1"
"558","GSM1772096096.3","Cluster_1"
"559","GSM1772096096.4","Cluster_1"
"560","GSM1772096096.5","Cluster_1"
"561","GSM1772096097.7","Cluster_1"
"562","GSM1772096099.10","Cluster_1"
"563","GSM1772096099.11","Cluster_1"
"564","GSM1772096099.12","Cluster_1"
"565","GSM1772096099.13","Cluster_1"
"566","GSM1772096100.18","Cluster_1"
"567","GSM1772096100.19","Cluster_1"
"568","GSM1772096100.20","Cluster_1"
"569","GSM1772096100.21","Cluster_1"
"570","GSM1772096100.22","Cluster_1"
"571","GSM1772096101.14","Cluster_1"
"572","GSM1772096101.15","Cluster_1"
"573","GSM1772096101.16","Cluster_1"
"574","GSM1772096101.17","Cluster_1"
"575","GSM1772096102.6","Cluster_1"
"576","GSM1772096103.18","Cluster_1"
"577","GSM1772096103.19","Cluster_1"
"578","GSM1772096103.20","Cluster_1"
"579","GSM1772096103.21","Cluster_1"
"580","GSM1772096132.18","Cluster_1"
"581","GSM1772096135.17","Cluster_1"
"582","GSM1772096135.18","Cluster_1"
"583","GSM1772096135.19","Cluster_1"
"584","GSM1772096133.10","Cluster_1"
"585","GSM1772096133.11","Cluster_1"
"586","GSM1772096136.14","Cluster_1"
"587","GSM1772096138.20","Cluster_1"
"588","GSM1772096138.21","Cluster_1"
"589","GSM1772096138.22","Cluster_1"
"590","GSM1772096138.23","Cluster_1"
"591","GSM1772096138.24","Cluster_1"
"592","GSM1772096138.25","Cluster_1"
"593","GSM1772096139.15","Cluster_1"
"594","GSM1772096139.16","Cluster_1"
"595","GSM1772096140.13","Cluster_1"
"596","GSM1772096140.14","Cluster_1"
"597","GSM1772096140.15","Cluster_1"
"598","GSM1772096141.27","Cluster_1"
"599","GSM1772096141.28","Cluster_1"
"600","GSM1772096141.29","Cluster_1"
"601","GSM1772096141.30","Cluster_1"
"602","GSM1772096144.6","Cluster_1"
"603","GSM1772096162.11","Cluster_1"
"604","GSM1772096162.12","Cluster_1"
"605","GSM1772096162.13","Cluster_1"
"606","GSM1772096165.13","Cluster_1"
"607","GSM1772096168.9","Cluster_1"
"608","GSM1772096171.4","Cluster_1"
"609","GSM1772096171.5","Cluster_1"
"610","GSM1772096171.6","Cluster_1"
"611","GSM1772096171.7","Cluster_1"
"612","GSM1772096128.4","Cluster_1"
"613","GSM1772096145.1","Cluster_1"
"614","GSM1772096145.2","Cluster_1"
"615","GSM1772096145.3","Cluster_1"
"616","GSM1772084020.3","Cluster_1"
"617","GSM1772084020.4","Cluster_1"
"618","GSM1772084020.5","Cluster_1"
"619","GSM1772084020.6","Cluster_1"
"620","GSM1772084020.7","Cluster_1"
"621","GSM1772084014.6","Cluster_1"
"622","GSM1772084017.10","Cluster_1"
"623","GSM1772084017.11","Cluster_1"
"624","GSM1772084021.12","Cluster_1"
"625","GSM1772092013.5","Cluster_1"
"626","GSM1772078029.6","Cluster_1"
"627","GSM1772075304.18","Cluster_1"
"628","GSM1772075304.19","Cluster_1"
"629","GSM1772078031.4","Cluster_1"
"630","GSM1772089190.8","Cluster_1"
"631","GSM1772078016.12","Cluster_1"
"632","GSM1772075304.20","Cluster_1"
"633","GSM1772084017.12","Cluster_1"
"634","GSM1772078013.7","Cluster_1"
"635","GSM1772075304.21","Cluster_1"
"636","GSM1772092008.7","Cluster_1"
"637","GSM1772089195.8","Cluster_1"
"638","GSM1772096102.7","Cluster_1"
"639","GSM1772078028.6","Cluster_1"
"640","GSM1772078029.7","Cluster_1"
"641","GSM1772096097.8","Cluster_1"
"642","GSM1772096096.6","Cluster_1"
"643","GSM1772075310.4","Cluster_1"
"644","GSM1772075310.5","Cluster_1"
"645","GSM1772096168.10","Cluster_1"
"646","GSM1772096100.23","Cluster_1"
"647","GSM1772096102.8","Cluster_1"
"648","GSM1772078030.14","Cluster_1"
"649","GSM1772096168.11","Cluster_1"
"650","GSM1772078030.15","Cluster_1"
"651","GSM1772092008.8","Cluster_1"
"652","GSM1772075310.6","Cluster_1"
"653","GSM1772096134.9","Cluster_1"
"654","GSM1772078028.7","Cluster_1"
"655","GSM1772096136.15","Cluster_1"
"656","GSM1772078018.6","Cluster_1"
"657","GSM1772078022.4","Cluster_1"
"658","GSM1772078019.10","Cluster_1"
"659","GSM1772096136.16","Cluster_1"
"660","GSM1772089194.13","Cluster_1"
"661","GSM1772096168.12","Cluster_1"
"662","GSM1772096168.13","Cluster_1"
"663","GSM1772092008.9","Cluster_1"
"664","GSM1772078013.8","Cluster_1"
"665","GSM1772078018.7","Cluster_1"
"666","GSM1772075305.13","Cluster_1"
"667","GSM1772075304.22","Cluster_1"
"668","GSM1772096133.12","Cluster_1"
"669","GSM1772092008.10","Cluster_1"
"670","GSM1772078018.8","Cluster_1"
