"dim1","dim2"
"X1772072122_E07",-4.89076570831245,4.7548083299703
"X1772072122_E08",-5.27534952238169,6.22263385347686
"X1772072122_E09",0.75917688764833,-0.0123028860908786
"X1772072122_E10",-2.56565386469174,-10.6312101658754
"X1772072122_E12",-2.13820952208232,-11.4312543433554
"X1772072122_F01",-2.32464612551169,-11.380705025295
"X1772072122_F02",-9.51785678274545,6.86047928108373
"X1772072122_F03",0.315780737026243,-1.35850061777475
"X1772072122_F04",-5.69136009372238,5.59683997523014
"X1772072122_F05",-2.61400125884001,-11.1454189126452
"X1772072122_F06",-2.12497962043638,-10.3639832233841
"X1772072122_F07",-6.75840576261414,5.47751251803455
"X1772072122_F08",-5.59770996924185,5.26671957476249
"X1772072122_F09",-4.39772749225642,5.6433628367439
"X1772072122_F10",7.50355126216842,2.45341815785318
"X1772072122_F11",7.18399285750001,3.96483144218919
"X1772072122_F12",-1.73010733511796,-11.2441948986789
"X1772072122_G01",-2.13520892227062,-11.4321059492444
"X1772072122_G02",-6.26032431480038,4.17589684916572
"X1772072122_G04",-9.51785678274545,6.86047928108373
"X1772072122_G05",-1.84947018137529,-10.5002975568299
"X1772072122_G06",-4.70564104855394,6.86369196199719
"X1772072122_G07",4.01375665362829,0.369901529473437
"X1772072122_G08",3.14074941006119,0.397894150317634
"X1772072122_G09",-5.72095539161898,4.12770181880829
"X1772072122_G10",-1.73107749083997,-11.2461497536978
"X1772072122_G12",-4.82105078622893,5.46155387307341
"X1772072122_H02",-5.57585154242262,5.9809101375396
"X1772072122_H04",7.18399555167024,3.96483518845106
"X1772072122_H05",-5.46939861890582,3.97943957553502
"X1772072122_H06",-6.17649760517399,4.15227566029856
"X1772072122_H07",-1.63499298058676,-11.0341696381174
"X1772072122_H08",7.50301235671911,2.45294414547191
"X1772072122_H09",-4.48658830310376,4.37389914323992
"X1772072122_H10",-1.60793655541003,-10.5831370627637
"X1772072122_H11",7.50301235671911,2.45294414547191
"X1772072122_H12",0.759387811134624,-0.0124473950139844
"X1772082029_A02",-4.45257521701559,6.13894098889347
"X1772082029_A03",4.01355848854639,0.369032433328341
"X1772082029_A04",-4.72011429652919,5.41612388550462
"X1772082029_A05",-4.31726097614947,5.57365225437374
"X1772082029_A06",-2.62518326634447,-11.0855956715401
"X1772082029_A07",4.1415560624929,1.22815942325426
"X1772082029_A08",4.01290368751927,0.367518935331212
"X1772082029_A09",-9.51785678274545,6.86047928108373
"X1772082029_A10",-2.08960157650741,-10.3567999319648
"X1772082029_A11",-3.80220257997516,5.00440015613699
"X1772082029_B02",-5.28253635517946,3.9011987453508
"X1772082029_B03",-2.55768442019515,-10.6127111592363
