"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Tmem132e","Tmem132e",2.35049724708413,0.935418491342118,0.0372575602389617,0.451361380114062
"0610012G03Rik","0610012G03Rik",3.01792190799726,0.846845330918276,0.0166189602864732,0.45146483947791
"Smarcd3","Smarcd3",2.82781902461732,0.866327808561462,0.0166281569995109,0.451507927078402
"Tgfb1i1","Tgfb1i1",1.63226821549951,0.967360750303079,0.0166308726278128,0.451520650201527
"Dlgap3","Dlgap3",2.35049724708413,0.935375016003288,0.0372140849001321,0.451565065348464
"Gm8787","Gm8787",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Pde4c","Pde4c",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Trim34b","Trim34b",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Adamts19","Adamts19",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Map3k7cl","Map3k7cl",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Rtp1","Rtp1",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Epsti1","Epsti1",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Igf2bp1","Igf2bp1",1.0703893278914,0.994814260782847,0.0166413049852868,0.451569527813344
"Il13ra1","Il13ra1",2.35049724708413,0.93536524557467,0.0372043144715136,0.451610842298672
"Dph1","Dph1",2.03562390973072,0.965580764010083,0.0371940004407253,0.451659166861823
"2900055J20Rik","2900055J20Rik",2.35049724708413,0.935354673382376,0.0371937422792196,0.451660376440992
"2300009A05Rik","2300009A05Rik",2.82781902461732,0.886892793284725,0.0371931417227738,0.451663190264893
"Ccdc169","Ccdc169",1.63226821549951,0.987921587726775,0.0371917100515087,0.45166989817176
"A330009N23Rik","A330009N23Rik",1.63226821549951,0.987914485165794,0.0371846074905281,0.45170317648836
"Flt4","Flt4",1.63226821549951,0.987913629675256,0.0371837519999898,0.45170718482391
"Orai1","Orai1",2.03562390973072,0.945063095717546,0.0166763321481879,0.451733642210564
"Rasa3","Rasa3",3.01792190799726,0.867389881079065,0.0371635104472627,0.451802026508011
"Zswim4","Zswim4",2.03562390973072,0.94508339770549,0.0166966341361321,0.451828767837888
"Cldn12","Cldn12",2.82781902461732,0.886854816799974,0.0371551652380233,0.45184112874121
"Zfp68","Zfp68",2.82781902461732,0.866410314219628,0.0167106626576772,0.451894500549761
"Dhrs3","Dhrs3",2.03562390973072,0.945099929169679,0.0167131656003207,0.451906228596277
"Ccdc103","Ccdc103",2.03562390973072,0.965526249355154,0.0371394857857957,0.451914597496973
"Ccdc74a","Ccdc74a",2.35049724708413,0.914877297308944,0.0167163662057875,0.451921225744911
"Cry2","Cry2",3.33628338786443,0.815813409675118,0.0167220555338911,0.451947884526234
"Wbp5","Wbp5",5.04875931191986,0.654939875009926,0.0167236796215218,0.451955494638081
"Pstpip1","Pstpip1",1.63226821549951,0.987856311809191,0.0371264341339255,0.451975754500633
"C1qtnf7","C1qtnf7",1.63226821549951,0.987856311809191,0.0371264341339255,0.451975754500633
"Zfp773","Zfp773",1.63226821549951,0.987846536777959,0.037116659102693,0.452021558768877
"Zfp87","Zfp87",2.35049724708413,0.914902751284098,0.0167418201809418,0.452040498446438
"Gm14436","Gm14436",3.91647664443772,0.779930099486613,0.0371097686841165,0.452053846576945
"Mrps10","Mrps10",2.82781902461732,0.886807319475403,0.0371076679134521,0.452063690639968
"A730056A06Rik","A730056A06Rik",1.63226821549951,0.987831502583581,0.0371016249083155,0.452092007899711
