"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Prkcq","Prkcq",1.0703893278914,0.967762326169406,0.0880958703221106,0.27995693280277
"Dad1","Dad1",4.25550073314839,0.351793700637549,-0.0319789028442453,0.279961559302083
"Syt5","Syt5",2.82781902461732,0.563734396061654,-0.0319688090066869,0.279994550868617
"Lrrc55","Lrrc55",2.60880924267552,0.716940581542351,0.0880826723781573,0.280000070130857
"Laptm4b","Laptm4b",2.82781902461732,0.563743997100486,-0.0319592079678545,0.280025933478395
"Gm20604","Gm20604",2.60880924267552,0.716878286520457,0.0880203773562626,0.280203724183228
"Gria2","Gria2",4.46597446450407,0.325264983006092,-0.0318954925546989,0.280234241213728
"Chrnb2","Chrnb2",2.03562390973072,0.696742336796204,-0.0318792176201328,0.280287461640534
"Hadh","Hadh",1.63226821549951,0.892397425583266,0.0879807582473042,0.280333283767597
"C030023E24Rik","C030023E24Rik",1.63226821549951,0.772566371681416,-0.0318502956545461,0.280382051017613
"E130308A19Rik","E130308A19Rik",1.63226821549951,0.772566371681416,-0.0318502956545461,0.280382051017613
"Cdh13","Cdh13",3.59693514238723,0.562215914361515,0.0879564688954845,0.280412727415656
"Tom1l2","Tom1l2",3.01792190799726,0.533618430810303,-0.0318399523880244,0.28041588245426
"Mical3","Mical3",2.03562390973072,0.696782602730329,-0.031838951686008,0.280419155721106
"Chst8","Chst8",1.63226821549951,0.892370246352547,0.0879535790165852,0.280422180123423
"Nhlrc1","Nhlrc1",1.63226821549951,0.892370246352547,0.0879535790165852,0.280422180123423
"Nav3","Nav3",1.63226821549951,0.892370246352547,0.0879535790165852,0.280422180123423
"Lace1","Lace1",1.63226821549951,0.892370246352547,0.0879535790165852,0.280422180123423
"BC030500","BC030500",2.03562390973072,0.816547267874702,0.087925713458365,0.28051333544872
"Dbnl","Dbnl",3.18586654531133,0.625611660593441,0.0879128730720482,0.280555344443077
"3110001I22Rik","3110001I22Rik",2.03562390973072,0.816527483484981,0.0879059290686441,0.280578063921947
"Hagh","Hagh",3.33628338786443,0.481992601189613,-0.0317817252988413,0.280606372318908
"Smndc1","Smndc1",2.03562390973072,0.816467872258561,0.0878463178422245,0.280773137309441
"Itpr1","Itpr1",2.03562390973072,0.696938923545626,-0.0316826308707104,0.28093070351761
"Zeb1","Zeb1",2.35049724708413,0.640344905831632,-0.0316765679454003,0.280950553054936
"Sec11c","Sec11c",3.33628338786443,0.482125371810741,-0.0316489546777127,0.281040965279196
"Dpp10","Dpp10",3.01792190799726,0.533811988645851,-0.0316463945524766,0.281049348433307
"Pik3ca","Pik3ca",3.01792190799726,0.533817951959545,-0.0316404312387826,0.281068875828405
"Caprin1","Caprin1",3.33628338786443,0.482133912172316,-0.0316404143161381,0.281068931244026
"Fzd3","Fzd3",2.60880924267552,0.597228691197019,-0.0316292179671751,0.281105596447348
"Cpne7","Cpne7",4.32912359629157,0.342736677676213,-0.0316185548983186,0.281140517441401
"Dpp7","Dpp7",2.60880924267552,0.716526368803511,0.0876684596393169,0.281355554754427
"Atg4b","Atg4b",2.03562390973072,0.697072838665759,-0.0315487157505776,0.281369288794838
"Zfp773","Zfp773",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Gbp6","Gbp6",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Ttc30a1","Ttc30a1",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Sox8","Sox8",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Spag6","Spag6",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Spry2","Spry2",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Gm16973","Gm16973",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Otx1","Otx1",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"C130030K03Rik","C130030K03Rik",1.0703893278914,0.967324710687543,0.0876582548402474,0.281388989240309
"Dpysl2","Dpysl2",5.00450139223494,0.380379785110972,0.0876481556973128,0.281422079447458
"Snrpb2","Snrpb2",3.33628338786443,0.482242918421764,-0.0315314080666895,0.281425997279663
"BC030336","BC030336",2.60880924267552,0.597345132743363,-0.0315127764208313,0.281487049878522
"Amfr","Amfr",2.82781902461732,0.56419704612039,-0.0315061589479505,0.281508735701143
"Msra","Msra",2.35049724708413,0.759612450411962,0.0875909766349303,0.281609464117265
"Sgce","Sgce",1.63226821549951,0.772953539823009,-0.0314631275129532,0.281649771737658
"Hid1","Hid1",2.60880924267552,0.597403609995712,-0.0314542991684825,0.281678710952471
"9330159F19Rik","9330159F19Rik",3.01792190799726,0.653009338483352,0.0875509552850247,0.281740656084627
"Marcks","Marcks",4.17791779219584,0.481372495792388,0.0875410960787439,0.281772979573491
"Dhdds","Dhdds",2.03562390973072,0.697208985704561,-0.0314125687117757,0.28181552232577
"Morn2","Morn2",2.03562390973072,0.697248340707964,-0.0313732137083721,0.281944575219467
"Ubac2","Ubac2",2.03562390973072,0.816095132743363,0.0874735783270262,0.281994385098272
"Chd9","Chd9",2.35049724708413,0.640718254784935,-0.0313032189920966,0.282174172152055
"Gm14325","Gm14325",2.35049724708413,0.759429504252943,0.0874080304759108,0.282209411015699
"Msl3","Msl3",1.63226821549951,0.891807022552098,0.0873903552161361,0.282267407184609
"1700049G17Rik","1700049G17Rik",1.63226821549951,0.891807022552098,0.0873903552161361,0.282267407184609
"Rasl2-9","Rasl2-9",1.63226821549951,0.891807022552098,0.0873903552161361,0.282267407184609
"Fbrsl1","Fbrsl1",1.63226821549951,0.891807022552098,0.0873903552161361,0.282267407184609
"Fam203a","Fam203a",1.63226821549951,0.891807022552098,0.0873903552161361,0.282267407184609
"Mmaa","Mmaa",1.63226821549951,0.773160076173407,-0.0312565911625555,0.282327170864449
"Gnao1","Gnao1",4.32912359629157,0.343119875131543,-0.0312353574429893,0.282396857752831
"Clptm1l","Clptm1l",3.81762325751143,0.411372190011189,-0.0311886564520389,0.282550154715267
"Arfip2","Arfip2",2.03562390973072,0.697493751266635,-0.0311278031497015,0.282749966940534
"Mfsd11","Mfsd11",1.63226821549951,0.773315180394826,-0.0311014869411357,0.282836397409669
"Kcnn3","Kcnn3",2.60880924267552,0.716041578873437,0.0871836697092432,0.282946010224426
"Spast","Spast",2.03562390973072,0.697582050031357,-0.0310395043849799,0.283040017188159
"Ctsk","Ctsk",1.0703893278914,0.966814159292035,0.0871477034447401,0.283064176923253
"Nt5c2","Nt5c2",2.35049724708413,0.759165613147914,0.0871441393708823,0.283075887931731
"2310022A10Rik","2310022A10Rik",1.0703893278914,0.848649875198548,-0.0310165806487475,0.283115342100007
"B4galt4","B4galt4",1.0703893278914,0.848649875198548,-0.0310165806487475,0.283115342100007
"Pomc","Pomc",1.0703893278914,0.848649875198548,-0.0310165806487475,0.283115342100007
"Hars2","Hars2",1.63226821549951,0.773407625915001,-0.0310090414209615,0.283140117287002
"F8","F8",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Slitrk2","Slitrk2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Als2cl","Als2cl",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Ooep","Ooep",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Fdxacb1","Fdxacb1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Raver1","Raver1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Mre11a","Mre11a",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Plekhg4","Plekhg4",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Samd1","Samd1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Plvap","Plvap",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Tm6sf2","Tm6sf2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Mlf1ip","Mlf1ip",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Nek3","Nek3",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Sct","Sct",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Fan1","Fan1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Aldh16a1","Aldh16a1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Zfp59","Zfp59",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"D030047H15Rik","D030047H15Rik",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Hist4h4","Hist4h4",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Gm10069","Gm10069",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Zfand4","Zfand4",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Alms1","Alms1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"E330009J07Rik","E330009J07Rik",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Parp12","Parp12",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Rbak","Rbak",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Ap4m1","Ap4m1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Alkbh4","Alkbh4",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Pxn","Pxn",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Crlf2","Crlf2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Tacc3","Tacc3",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
